Corpus,Corpus_URL,Language,Size,Annotation,Licence,Description,Buttons,Buttons_URL,Publication,Publication_URL,Note
CzeSL – Czech as a Second Language,http://hdl.handle.net/11234/1-162,Czech,0.9 million words,"tokenised, PoS-tagged, lemmatised, error labels",CC-BY,This corpus contains essays written in 2013 by learners from 54 L1 backgrounds.#SEPThe corpus is available for download from LINDAT.,Download,http://hdl.handle.net/11234/1-162,Rosen (2016).,https://www.clarin.eu/resource-families/L2-corpora#Rosen%202016,
British Academic Written English Corpus,https://ota.ox.ac.uk/headers/2539.xml,English,2761 texts,,CC-BY,This is primarily a L1 corpus although it also contains L2 texts.#SEPThe corpus is available for download from the University of Oxford Text Archive.,Download,http://ota.ox.ac.uk/headers/2539.xml,,,
CORYL (Corpus of Young Learner Language),http://hdl.handle.net/11495/D985-A882-BCB3-4,English,"191,568 tokens","tokenised, anonymised, error labels, linked to CEFR levels",,"This corpus contains English texts written yb Norwegian primary school pupils (7th, 10th, and 11th grade).#SEPThe corpus is available through the concordancer Corpuscle provided by CLARINO.",Concordancer,http://clarino.uib.no/korpuskel/landing-page?identifier=coryl&view=short,,,
ETS Corpus of Non-Native Written English,https://catalog.ldc.upenn.edu/LDC2014T06,English,"12,100 essays (1100 / language)",,restricted,This corpus contains texts written by learners from 11 L1 backgrounds as part of an international text of academic English proficiency. Prompts as well as proficiency level are part of the metadata.#SEPThe corpus is available for download from the LDC catalogue.,Download,http://catalog.ldc.upenn.edu/LDC2014T06,,,
The Hanken Corpus of Academic Writing,http://metashare.csc.fi/repository/browse/the-hanken-corpus-of-academic-writing/cecb1acc62cf11e688f6005056be118e59a29510d11e4d7a8eafc0f8b9cc6924/,English,"500,000 words",,CC-BY,This corpus contains academic texts  written by Finnish and Swedish native speakers.#SEPThe corpus is still under development.,,,,,
ICLE International Corpus of Learner English,http://hdl.handle.net/11372/LRT-859,English,3 million words,,,This corpus contains texts written by learners of English from 14 L1 backgrounds.#SEPThe corpus can be <a href=”https://www.i6doc.com/en/collections/cdicle/”>purchased on CD-ROM</a> and a new version (ICLE v.3) is in development.,,,,,
The Uppsala Student English corpus,https://ota.ox.ac.uk/headers/2457.xml,English,1.2 million tokens,tokenised,CC-BY,"This corpus contains essays written during the first three semesters of English studies at Uppsala University; most of the essays were written during the first semester. The corpus contains text files, each with a student ID and text ID including the course level, and information about the different prompts are available.#SEPThe corpus is available for download from the University of Oxford Text Archive.",Download,http://ota.ox.ac.uk/headers/2457.xml,,,
The Advanced Finnish Learners’ Corpus,http://metashare.csc.fi/repository/browse/the-advanced-finnish-learners-corpus/71773b0cfccc11e18b49005056be118e1f3feb493f7b4b999c7b1649ab466ca4/,Finnish,"288,000 tokens",tokenised,CLARIN RES,"This corpus contains academic texts written by MA students and collected in 2009.#SEPThe corpus consists of two subcorpora - <a href=”http://metashare.csc.fi/repository/browse/the-exam-essays-subcorpus-of-the-advanced-finnish-learners-corpus/31cb235e020b11e6a120005056be118efa06204d088e4bbdb52bf0201ac9d054/”>The Exam Essays Subcorpus</a> and the <a href=”http://metashare.csc.fi/repository/browse/the-advanced-finnish-learners-corpus/71773b0cfccc11e18b49005056be118e1f3feb493f7b4b999c7b1649ab466ca4/”>Course Papers Subcorpus</a>, both of which are also available through Korp.",Concordancer#SEPDownload#SEPDownload,"https://korp.csc.fi/#?cqp=%5B%5D&corpus=las2_tentit,las2_esseet&prequery_within=sentence#SEPhttp://metashare.csc.fi/repository/browse/the-exam-essays-subcorpus-of-the-advanced-finnish-learners-corpus/31cb235e020b11e6a120005056be118efa06204d088e4bbdb52bf0201ac9d054/#SEPhttp://metashare.csc.fi/repository/browse/the-advanced-finnish-learners-corpus/71773b0cfccc11e18b49005056be118e1f3feb493f7b4b999c7b1649ab466ca4/",,,
International Corpus of Learner Finnish (ICLFI) Corpus,http://metashare.csc.fi/repository/browse/international-corpus-of-learner-finnish-iclfi/632aa08efccc11e18b49005056be118e2d2ce40d2a224c85b4602c9d1337b876/,Finnish,1 million words,morphological,CLARIN RES,"This corpus contains fictional (e.g., letters, narratives) and non-fictional (e.g., essays) texts.#SEPThe corpus provides information on a large number of variables concerning the linguistic background of the learner, the learning task, the learning context, etc. It is available through the concordancer Korp.",Concordancer,https://korp.csc.fi/#?cqp=[]&corpus=iclfi,Jantunen (2011).,https://www.clarin.eu/resource-families/L2-corpora#Jantunen%202011,
Testipiste Corpus,http://metashare.csc.fi/repository/browse/testipiste-corpus/7d58bdeaed1f11e6a77a005056be118e05bb295b3de846b59273a51b9b157139/,Finnish,"840,000 tokens",tokenised,CLARIN RES,This corpus contains essays written by adult migrants from various L1 backgrounds.#SEPThe corpus will be made available through the concordancer Korp.,,,,,
